Model unknown

  Variables:
    x : Size=1204, Index=x_index
        Key                     : Lower : Value                   : Upper : Fixed : Stale : Domain
                       (8.4, 3) :  None :    -0.00984254571803006 :  None : False : False :  Reals
                   (8.46202, 0) :  None :     0.05172147694678843 :  None : False : False :  Reals
                   (8.46202, 1) :  None :    0.002113040703304623 :  None : False : False :  Reals
                   (8.46202, 2) :  None :     0.07878090733457078 :  None : False : False :  Reals
                   (8.46202, 3) :  None :    0.004457820158861592 :  None : False : False :  Reals
                   (8.65798, 0) :  None :     0.05432487167408272 :  None : False : False :  Reals
                   (8.65798, 1) :  None :    0.023590950491145662 :  None : False : False :  Reals
                   (8.65798, 2) :  None :     0.08390884544917901 :  None : False : False :  Reals
                   (8.65798, 3) :  None :     0.04626852150535251 :  None : False : False :  Reals
                       (8.8, 0) :  None :     0.05858212614416509 :  None : False : False :  Reals
                       (8.8, 1) :  None :     0.03590647429785754 :  None : False : False :  Reals
                       (8.8, 2) :  None :     0.09226289923545908 :  None : False : False :  Reals
                       (8.8, 3) :  None :     0.07053139703256159 :  None : False : False :  Reals
                   (8.86202, 0) :  None :    0.060942909097281776 :  None : False : False :  Reals
                   (8.86202, 1) :  None :    0.040080980588732336 :  None : False : False :  Reals
                   (8.86202, 2) :  None :       0.096902090267211 :  None : False : False :  Reals
                   (8.86202, 3) :  None :     0.07888601407454984 :  None : False : False :  Reals
                   (9.05798, 0) :  None :     0.06965486407701588 :  None : False : False :  Reals
                   (9.05798, 1) :  None :     0.04732051175302341 :  None : False : False :  Reals
                   (9.05798, 2) :  None :     0.11412579092197943 :  None : False : False :  Reals
                   (9.05798, 3) :  None :     0.09394134304622655 :  None : False : False :  Reals
         (9.200000000000001, 0) :  None :     0.07640110888431423 :  None : False : False :  Reals
         (9.200000000000001, 1) :  None :     0.04688785295396312 :  None : False : False :  Reals
         (9.200000000000001, 2) :  None :     0.12756408286037801 :  None : False : False :  Reals
         (9.200000000000001, 3) :  None :     0.09374773460498605 :  None : False : False :  Reals
                   (9.26202, 0) :  None :     0.07927324479100568 :  None : False : False :  Reals
                   (9.26202, 1) :  None :     0.04523548030721174 :  None : False : False :  Reals
                   (9.26202, 2) :  None :      0.1333155659605427 :  None : False : False :  Reals
                   (9.26202, 3) :  None :      0.0907381440363873 :  None : False : False :  Reals
                   (9.45798, 0) :  None :     0.08721513413680154 :  None : False : False :  Reals
                   (9.45798, 1) :  None :     0.03482325466944263 :  None : False : False :  Reals
                   (9.45798, 2) :  None :     0.14931815989625968 :  None : False : False :  Reals
                   (9.45798, 3) :  None :     0.07048740373432255 :  None : False : False :  Reals
         (9.600000000000001, 0) :  None :     0.09139639559380223 :  None : False : False :  Reals
         (9.600000000000001, 1) :  None :    0.023535171031681235 :  None : False : False :  Reals
         (9.600000000000001, 2) :  None :     0.15780568594933286 :  None : False : False :  Reals
         (9.600000000000001, 3) :  None :     0.04793487358206769 :  None : False : False :  Reals
                   (9.66202, 0) :  None :     0.09269694415105617 :  None : False : False :  Reals
                   (9.66202, 1) :  None :    0.017936671563875815 :  None : False : False :  Reals
                   (9.66202, 2) :  None :     0.16045937441031133 :  None : False : False :  Reals
                   (9.66202, 3) :  None :     0.03663655306149197 :  None : False : False :  Reals
                   (9.85798, 0) :  None :      0.0943652312883951 :  None : False : False :  Reals
                   (9.85798, 1) :  None :  -0.0007883592812253128 :  None : False : False :  Reals
                   (9.85798, 2) :  None :      0.1638902831121839 :  None : False : False :  Reals
                   (9.85798, 3) :  None :   -0.001387773284093452 :  None : False : False :  Reals
                      (10.0, 0) :  None :     0.09331740368190519 :  None : False : False :  Reals
                      (10.0, 1) :  None :   -0.013903874401187557 :  None : False : False :  Reals
                      (10.0, 2) :  None :      0.1617894710712322 :  None : False : False :  Reals
                      (10.0, 3) :  None :    -0.02807490452691314 :  None : False : False :  Reals
                  (10.06202, 0) :  None :     0.09229649215006025 :  None : False : False :  Reals
                  (10.06202, 1) :  None :   -0.019162311608279775 :  None : False : False :  Reals
                  (10.06202, 2) :  None :      0.1597254480725983 :  None : False : False :  Reals
                  (10.06202, 3) :  None :   -0.038755261781685896 :  None : False : False :  Reals
                  (10.25798, 0) :  None :     0.08713988272990773 :  None : False : False :  Reals
                  (10.25798, 1) :  None :   -0.032416620598521316 :  None : False : False :  Reals
                  (10.25798, 2) :  None :     0.14930174616802575 :  None : False : False :  Reals
                  (10.25798, 3) :  None :    -0.06545690593533676 :  None : False : False :  Reals
                      (10.4, 0) :  None :     0.08209448949363159 :  None : False : False :  Reals
                      (10.4, 1) :  None :    -0.03808326692912801 :  None : False : False :  Reals
                      (10.4, 2) :  None :      0.1391292398045239 :  None : False : False :  Reals
                      (10.4, 3) :  None :    -0.07665518176538358 :  None : False : False :  Reals
                  (10.46202, 0) :  None :     0.07968454216166666 :  None : False : False :  Reals
                  (10.46202, 1) :  None :    -0.03936606286919168 :  None : False : False :  Reals
                  (10.46202, 2) :  None :     0.13428158617767247 :  None : False : False :  Reals
                  (10.46202, 3) :  None :    -0.07909910433090955 :  None : False : False :  Reals
                  (10.65798, 0) :  None :     0.07196018522507855 :  None : False : False :  Reals
                  (10.65798, 1) :  None :    -0.03828895601606582 :  None : False : False :  Reals
                  (10.65798, 2) :  None :     0.11880644211388268 :  None : False : False :  Reals
                  (10.65798, 3) :  None :    -0.07649782047728246 :  None : False : False :  Reals
                      (10.8, 0) :  None :     0.06684832595155224 :  None : False : False :  Reals
                      (10.8, 1) :  None :     -0.0330781947029044 :  None : False : False :  Reals
                      (10.8, 2) :  None :      0.1086131825984546 :  None : False : False :  Reals
                      (10.8, 3) :  None :    -0.06581654243316544 :  None : False : False :  Reals
                  (10.86202, 0) :  None :     0.06488475124452062 :  None : False : False :  Reals
                  (10.86202, 1) :  None :   -0.029776289699565823 :  None : False : False :  Reals
                  (10.86202, 2) :  None :     0.10471002641862164 :  None : False : False :  Reals
                  (10.86202, 3) :  None :    -0.05914385215089657 :  None : False : False :  Reals
                  (11.05798, 0) :  None :    0.060330838494774656 :  None : False : False :  Reals
                  (11.05798, 1) :  None :   -0.016257517743820143 :  None : False : False :  Reals
                  (11.05798, 2) :  None :     0.09568467338175217 :  None : False : False :  Reals
                  (11.05798, 3) :  None :    -0.03212529224210474 :  None : False : False :  Reals
        (11.200000000000001, 0) :  None :       0.058819429226187 :  None : False : False :  Reals
        (11.200000000000001, 1) :  None :    -0.00479346985732646 :  None : False : False :  Reals
        (11.200000000000001, 2) :  None :     0.09270632311696062 :  None : False : False :  Reals
        (11.200000000000001, 3) :  None :    -0.00937318210194257 :  None : False : False :  Reals
                  (11.26202, 0) :  None :     0.05867176504823367 :  None : False : False :  Reals
                  (11.26202, 1) :  None :   0.0003313854708977184 :  None : False : False :  Reals
                  (11.26202, 2) :  None :     0.09242158816484736 :  None : False : False :  Reals
                  (11.26202, 3) :  None :   0.0007725561477015877 :  None : False : False :  Reals
                  (11.45798, 0) :  None :    0.060271718665640746 :  None : False : False :  Reals
                  (11.45798, 1) :  None :    0.015438739573359105 :  None : False : False :  Reals
                  (11.45798, 2) :  None :     0.09561186815433999 :  None : False : False :  Reals
                  (11.45798, 3) :  None :    0.030695174282084705 :  None : False : False :  Reals
        (11.600000000000001, 0) :  None :     0.06311374233486705 :  None : False : False :  Reals
        (11.600000000000001, 1) :  None :    0.024290217539633834 :  None : False : False :  Reals
        (11.600000000000001, 2) :  None :     0.10126088601524727 :  None : False : False :  Reals
        (11.600000000000001, 3) :  None :     0.04828295694296206 :  None : False : False :  Reals
                  (11.66202, 0) :  None :     0.06471757415132545 :  None : False : False :  Reals
                  (11.66202, 1) :  None :    0.027358196272768164 :  None : False : False :  Reals
                  (11.66202, 2) :  None :     0.10444903471428157 :  None : False : False :  Reals
                  (11.66202, 3) :  None :     0.05440731935843057 :  None : False : False :  Reals
                  (11.85798, 0) :  None :     0.07073483694254348 :  None : False : False :  Reals
